Sl. No.,State/UT,Personal Revenge,Emotional motives like Anger etc,Fraud,Extortion,Causing Disrepute,Prank,Sexual Exploitation,Political Motives,Terrorist Activities,Inciting Hate against Country,Disrupt Public Service,Sale Purchase illegal drugs,Developing own business,Spreading Piracy,Psycho or Pervert,Steal Information,Abetment to Suicide,Others,Total
1,Andhra Pradesh,88,63,1334,126,95,0,239,34,0,0,1,1,27,4,0,0,0,329,2341
2,Arunachal Pradesh,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24
3,Assam,174,89,138,132,12,6,59,3,0,0,1,0,0,2,0,0,0,293,909
4,Bihar,326,309,3422,159,23,19,93,0,0,0,7,0,25,10,0,24,0,33,4450
5,Chhattisgarh,1,1,49,3,57,3,136,4,0,0,0,0,5,0,44,0,0,170,473
6,Goa,2,2,60,2,7,0,11,0,0,0,0,0,0,0,0,0,0,2,86
7,Gujarat,1,9,1187,183,387,5,84,0,2,0,2,0,5,0,1,0,0,129,1995
8,Haryana,22,33,295,36,20,3,117,0,0,0,0,0,1,1,0,0,0,223,751
9,Himachal Pradesh,8,3,90,3,5,0,12,1,0,0,0,0,0,0,0,0,0,5,127
10,Jharkhand,0,0,1027,14,6,0,19,0,0,0,2,0,0,0,0,0,0,11,1079
11,Karnataka,109,104,18602,437,212,2,682,12,1,0,1,3,567,0,0,1,0,1156,21889
12,Kerala,97,29,1718,590,20,4,500,3,0,0,0,0,154,2,2,57,0,119,3295
13,Madhya Pradesh,13,10,332,17,100,5,102,1,0,0,0,0,0,0,0,1,0,104,685
14,Maharashtra,54,26,5290,123,9,0,534,0,0,0,8,0,48,0,0,0,0,2011,8103
15,Manipur,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
16,Meghalaya,2,2,29,3,1,0,17,1,0,0,0,0,0,0,0,0,0,9,64
17,Mizoram,0,0,24,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,31
18,Nagaland,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
19,Odisha,0,0,1676,0,0,0,8,0,0,0,0,0,0,0,0,0,0,664,2348
20,Punjab,16,13,277,53,29,3,74,2,1,1,2,0,3,1,0,0,0,36,511
21,Rajasthan,52,7,1102,134,100,4,365,3,1,0,1,0,1,0,0,0,0,665,2435
22,Sikkim,0,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,5,12
23,Tamil Nadu,29,21,3697,49,29,8,181,36,0,3,4,0,25,6,0,0,0,33,4121
24,Telangana,3,165,14749,134,0,0,195,38,0,0,0,0,96,9,0,0,2,2845,18236
25,Tripura,3,0,17,1,3,0,11,1,0,0,0,0,0,0,0,0,0,0,36
26,Uttar Pradesh,90,202,3811,1020,1268,97,514,61,0,13,10,3,70,1,0,0,0,3634,10794
27,Uttarakhand,0,14,187,70,41,17,102,1,0,0,10,0,0,0,0,0,0,52,494
28,West Bengal,15,4,12,8,3,2,12,0,0,0,0,0,0,0,0,0,0,253,309
Total State(S),Total State(S),1106,1106,59150,3298,2433,178,4068,203,5,17,49,7,1028,36,47,85,2,12785,85603
29,Andaman and Nicobar Islands,1,0,22,1,2,0,9,1,0,0,0,0,0,1,0,0,0,10,47
30,Chandigarh,2,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,6,23
31,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,6
32,Delhi,8,2,114,12,0,11,42,1,0,0,0,0,1,1,0,0,0,215,407
33,Jammu and Kashmir,1,2,112,11,1,1,46,0,1,0,0,0,2,3,0,0,0,5,185
34,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
35,Lakshadweep,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36,Puducherry,0,0,125,1,0,0,19,0,0,0,0,0,0,0,0,0,0,2,147
Total UT(S),Total UT(S),12,4,376,28,3,12,131,2,1,0,0,0,3,5,0,0,0,240,817
Total All India,Total All India,1118,1110,59526,3326,2436,190,4199,205,6,17,49,7,1031,41,47,85,2,13025,86420
